Disaster Number,IH Program Declared,IA Program Declared,PA Program Declared,HM Program Declared,State ,Declaration Date,Disaster Type,Incident Type,Title,Incident Begin Date,Incident End Date,Disaster Close Out Date,Place Code,Declared County/Area,Declaration Request Number
799,No,Yes,Yes,Yes,CA,1987-10-07 00:00:00,DR,Earthquake,EARTHQUAKE & AFTERSHOCKS,1987-10-01 00:00:00,1987-11-20 00:00:00,2000-09-07 00:00:00,99059.0,Orange (County),87028
694,No,Yes,Yes,Yes,ID,1983-11-18 00:00:00,DR,Earthquake,EARTHQUAKE,1983-10-28 00:00:00,1984-01-25 00:00:00,1988-05-06 00:00:00,99023.0,Butte (County),84005
694,No,Yes,Yes,Yes,ID,1983-11-18 00:00:00,DR,Earthquake,EARTHQUAKE,1983-10-28 00:00:00,1984-01-25 00:00:00,1988-05-06 00:00:00,99037.0,Custer (County),84005
694,No,Yes,Yes,Yes,ID,1983-11-18 00:00:00,DR,Earthquake,EARTHQUAKE,1983-10-28 00:00:00,1984-01-25 00:00:00,1988-05-06 00:00:00,99047.0,Gooding (County),84005
682,No,Yes,Yes,Yes,CA,1983-05-05 00:00:00,DR,Earthquake,COALINGA EARTHQUAKE,1983-05-05 00:00:00,1983-05-05 00:00:00,1989-10-03 00:00:00,99031.0,Kings (County),83028
609,No,Yes,Yes,Yes,CA,1979-10-19 00:00:00,DR,Earthquake,EARTHQUAKE,1979-10-19 00:00:00,1979-10-19 00:00:00,1988-03-17 00:00:00,99025.0,Imperial (County),80002
490,No,Yes,Yes,Yes,HI,1975-12-07 00:00:00,DR,Earthquake,"EARTHQUAKE, SEISMIC WAVES & VOLCANIC ERUPTION",1975-12-07 00:00:00,1975-12-07 00:00:00,1979-09-10 00:00:00,99001.0,Hawaii (County),76026
383,No,No,Yes,Yes,HI,1973-05-16 00:00:00,DR,Earthquake,EARTHQUAKE,1973-05-16 00:00:00,1973-05-16 00:00:00,1977-03-07 00:00:00,99001.0,Hawaii (County),73044
299,No,Yes,Yes,Yes,CA,1971-02-09 00:00:00,DR,Earthquake,SAN FERNANDO EARTHQUAKE,1971-02-09 00:00:00,1971-02-09 00:00:00,1990-10-30 00:00:00,99037.0,Los Angeles (County),71022
196,No,Yes,Yes,Yes,WA,1965-05-11 00:00:00,DR,Earthquake,EARTHQUAKE,1965-05-11 00:00:00,1965-05-11 00:00:00,1968-12-17 00:00:00,99033.0,King (County),65022
196,No,Yes,Yes,Yes,WA,1965-05-11 00:00:00,DR,Earthquake,EARTHQUAKE,1965-05-11 00:00:00,1965-05-11 00:00:00,1968-12-17 00:00:00,99035.0,Kitsap (County),65022
196,No,Yes,Yes,Yes,WA,1965-05-11 00:00:00,DR,Earthquake,EARTHQUAKE,1965-05-11 00:00:00,1965-05-11 00:00:00,1968-12-17 00:00:00,99045.0,Mason (County),65022
196,No,Yes,Yes,Yes,WA,1965-05-11 00:00:00,DR,Earthquake,EARTHQUAKE,1965-05-11 00:00:00,1965-05-11 00:00:00,1968-12-17 00:00:00,99053.0,Pierce (County),65022
196,No,Yes,Yes,Yes,WA,1965-05-11 00:00:00,DR,Earthquake,EARTHQUAKE,1965-05-11 00:00:00,1965-05-11 00:00:00,1968-12-17 00:00:00,99061.0,Snohomish (County),65022
196,No,Yes,Yes,Yes,WA,1965-05-11 00:00:00,DR,Earthquake,EARTHQUAKE,1965-05-11 00:00:00,1965-05-11 00:00:00,1968-12-17 00:00:00,99067.0,Thurston (County),65022
168,No,Yes,Yes,Yes,AK,1964-03-28 00:00:00,DR,Earthquake,EARTHQUAKE,1964-03-28 00:00:00,1964-03-28 00:00:00,1971-06-17 00:00:00,,,64015
96,No,Yes,Yes,Yes,HI,1960-01-21 00:00:00,DR,Earthquake,EARTHQUAKES & VOLCANIC DISTURBANCES,1960-01-21 00:00:00,1960-01-21 00:00:00,1961-06-09 00:00:00,,,60014
19,No,Yes,Yes,Yes,NV,1954-07-14 00:00:00,DR,Earthquake,EARTHQUAKE,1954-07-14 00:00:00,1954-07-14 00:00:00,1957-08-01 00:00:00,,,54010
